scenario,match_step,score,p_win_classic,p_win_fixed5,p_win_adaptive,rating_classic,rating_fixed5,rating_adaptive,delta_classic,delta_fixed5,delta_adaptive,consistency,surprise,adaptive_cap
Scenario_A_Baseline,0,Initial,0.9090909090909091,0.9090909090909091,0.9090909090909091,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,4.0
Scenario_A_Baseline,1,2-0,0.9090909090909091,0.9090909090909091,0.9090909090909091,2003.2727272727273,2003.2727272727273,2003.2727272727273,3.272727272727274,3.272727272727274,3.272727272727274,0.0,0.0,4.0
Scenario_A_Baseline,2,2-0,0.9121572214660395,0.9121572214660395,0.9121572214660395,2006.4350672999499,2006.4350672999499,2006.4350672999499,3.162340027222578,3.162340027222578,3.162340027222578,1.0,0.0878427785339605,16.35137111413584
Scenario_A_Baseline,3,2-0,0.9150310064363951,0.9150310064363951,0.9150310064363951,2009.4939510682398,2009.4939510682398,2009.4939510682398,3.0588837682897756,3.0588837682897756,3.0588837682897756,1.0,0.08496899356360488,16.33987597425442
Scenario_A_Baseline,4,2-0,0.9177293609124818,0.9177293609124818,0.9177293609124818,2012.4556940753905,2012.4556940753905,2012.4556940753905,2.961743007150655,2.961743007150655,2.961743007150655,1.0,0.0822706390875182,16.329082556350073
Scenario_A_Baseline,5,2-0,0.9202674606486595,0.9202674606486595,0.9202674606486595,2015.3260654920389,2015.3260654920389,2015.3260654920389,2.870371416648258,2.870371416648258,2.870371416648258,1.0,0.0797325393513405,16.31893015740536
Scenario_A_Baseline,6,2-0,0.9226588173129768,0.9226588173129768,0.9226588173129768,2018.1103480687716,2018.1103480687716,2018.1103480687716,2.784282576732834,2.784282576732834,2.784282576732834,1.0,0.07734118268702317,16.309364730748094
Scenario_A_Baseline,7,2-0,0.9249154961426879,0.9249154961426879,0.9249154961426879,2020.813390207635,2020.813390207635,2020.813390207635,2.703042138863237,2.703042138863237,2.703042138863237,1.0,0.07508450385731213,16.300338015429247
Scenario_A_Baseline,8,2-0,0.9270483009258106,0.9270483009258106,0.9270483009258106,2023.4396513743059,2023.4396513743059,2023.4396513743059,2.626261166670819,2.626261166670819,2.626261166670819,1.0,0.07295169907418941,16.291806796296758
Scenario_A_Baseline,9,2-0,0.9290669317891735,0.9290669317891735,0.9290669317891735,2025.9932418298956,2025.9932418298956,2025.9932418298956,2.5535904555897524,2.5535904555897524,2.5535904555897524,1.0,0.07093306821082646,16.283732272843306
